"URL","HTTP_STATUS","FINAL_URL","INTERNAL_LINK_COUNT","CANONICAL","ROBOTS_META","H1_COUNT","PRELAUNCH_CURTAIN","SAFE_LINK_MASK"
"https://jungle.tibaldo.fr/substrats/terreau-signature","200","https://jungle.tibaldo.fr/substrats/terreau-signature","64","https://jungle.tibaldo.fr/substrats/terreau-signature","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/substrats/ecorce-de-pin","200","https://jungle.tibaldo.fr/substrats/ecorce-de-pin","64","https://jungle.tibaldo.fr/substrats/ecorce-de-pin","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/substrats/chips-coco","200","https://jungle.tibaldo.fr/substrats/chips-coco","64","https://jungle.tibaldo.fr/substrats/chips-coco","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/substrats/perlite","200","https://jungle.tibaldo.fr/substrats/perlite","64","https://jungle.tibaldo.fr/substrats/perlite","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/substrats/sphaigne-sechee","200","https://jungle.tibaldo.fr/substrats/sphaigne-sechee","64","https://jungle.tibaldo.fr/substrats/sphaigne-sechee","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/substrats/charbon-actif","200","https://jungle.tibaldo.fr/substrats/charbon-actif","64","https://jungle.tibaldo.fr/substrats/charbon-actif","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/substrats/billes-argile","200","https://jungle.tibaldo.fr/substrats/billes-argile","64","https://jungle.tibaldo.fr/substrats/billes-argile","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/substrats/vermiculite","200","https://jungle.tibaldo.fr/substrats/vermiculite","64","https://jungle.tibaldo.fr/substrats/vermiculite","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/substrats/zeolite","200","https://jungle.tibaldo.fr/substrats/zeolite","64","https://jungle.tibaldo.fr/substrats/zeolite","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/agave","200","https://jungle.tibaldo.fr/plantes/agave","64","https://jungle.tibaldo.fr/plantes/agave","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/fatsia","200","https://jungle.tibaldo.fr/plantes/fatsia","64","https://jungle.tibaldo.fr/plantes/fatsia","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/strelitzia","200","https://jungle.tibaldo.fr/plantes/strelitzia","68","https://jungle.tibaldo.fr/plantes/strelitzia","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/aloe","200","https://jungle.tibaldo.fr/plantes/aloe","64","https://jungle.tibaldo.fr/plantes/aloe","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/chlorophytum","200","https://jungle.tibaldo.fr/plantes/chlorophytum","64","https://jungle.tibaldo.fr/plantes/chlorophytum","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/yucca","200","https://jungle.tibaldo.fr/plantes/yucca","64","https://jungle.tibaldo.fr/plantes/yucca","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/cycas","200","https://jungle.tibaldo.fr/plantes/cycas","64","https://jungle.tibaldo.fr/plantes/cycas","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/dicksonia","200","https://jungle.tibaldo.fr/plantes/dicksonia","64","https://jungle.tibaldo.fr/plantes/dicksonia","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/plumeria","200","https://jungle.tibaldo.fr/plantes/plumeria","64","https://jungle.tibaldo.fr/plantes/plumeria","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/equisetum","200","https://jungle.tibaldo.fr/plantes/equisetum","64","https://jungle.tibaldo.fr/plantes/equisetum","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/ficus","200","https://jungle.tibaldo.fr/plantes/ficus","64","https://jungle.tibaldo.fr/plantes/ficus","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
"https://jungle.tibaldo.fr/plantes/syngonium","200","https://jungle.tibaldo.fr/plantes/syngonium","64","https://jungle.tibaldo.fr/plantes/syngonium","","1","YES","PRESENT_IN_HTML_OR_ASSET_GRAPH"
